pred,Experimental,Folk,Experimental,Hip-Hop,International,Folk
0,104,133,32,192,94,107
1,57,21,57,36,97,243
2,68,67,3,25,15,6
3,107,109,3,25,38,29
4,78,90,83,81,77,21
5,64,74,308,133,166,80
